cust_id,no_transactions,avg_sales
568ff1c3-bee2-40f4-b12e-425bef4c6eec,127,13.93913386
33,175,525
34,154,462
35,137,411
36,146,438
37,137,411
38,100,300
39,145,435
40,76,228
41,110,330
42,95,285
43,161,483
44,169,507
45,173,519
46,79,237
47,140,420
48,85,255
49,91,273
50,148,444
51,127,381
52,148,444
53,98,294
54,93,279
55,105,315
56,80,240
a94894a7-e3e4-4f47-a125-1d08b190d4ee,23,14.55652174
e5d2bf8b-304d-463d-9f7e-88702a0f737c,20,280.958
95957664-8233-46bf-9002-59f7a7d77f89,18,600.6916667
db7d5045-70f7-4e27-9742-0b954ec86cec,15,14.83066667
b4c5490d-85ae-4f56-bc83-4e3c72e1218b,12,3116.103333
1,20,45.70006613
2,27,45.08665554
3,27,44.57745882
4,19,45.98838021
5,16,45.92609884
6,15,45.86405114
7,23,45.95741361
8,29,47.78138149
9,21,47.06503191
10,16,54.01191755
11,15,53.34312397
12,13,52.6994166
13,26,51.9582935
14,22,52.02554819
15,21,51.71888801
16,23,51.12743601
17,26,50.54607382
18,28,49.67576533
19,24,49.10574793
20,17,48.70777639
21,27,48.05123602
22,30,47.77865111
23,25,47.40231813
24,21,47.01550408
25,28,47.54844717
26,18,48.89615291
27,11,50.21322898
28,11,67.48684878
29,13,67.11095449
30,20,71.02184189
31,12,77.94555003
32,22,77.19690116
43999fc1-7a2f-449d-9a61-9a90bdd47d15,10,48.196
56,4,18
57,7,17
58,8,22
59,8,51
60,5,21
61,8,52
62,8,38
63,5,28
64,5,19
65,6,20
66,8,23
67,4,56
68,7,14
69,7,31
70,6,43
71,6,14
72,4,15
73,5,24
74,5,37
75,7,51
76,5,41
77,5,22
78,6,14
79,7,55
80,5,37
81,9,41
82,7,31
83,5,20
84,8,44
85,6,18
86,7,43
87,7,48
88,9,15
89,6,18
90,8,14
91,8,22
92,8,23
93,7,23
94,8,49
532d1099-1bfe-490b-9a12-5ccde8611706,8,37.84875
6cf34e9c-a29f-4d9b-a188-e30b9b172b0d,6,26.28166667
8f6ddc73-0ab0-43ac-a01e-f3a15600454f,6,121.3133333
129c1df4-60a1-4214-8129-bf533faa8162,6,250.1333333
24014752-90cb-436a-b112-70457f8e347a,6,117.0066667
b887a2dd-ef30-492a-9153-7d2159e2c436,6,15.72
6cf9a1ee-8312-42d9-89c5-fe8bca8e2644,6,165.8183333
5dd06590-a49b-4944-956d-1ebddb34402a,6,1126.158333
f134fe05-c437-4f06-8eee-2c580705e3af,6,61.15
e3b9eba5-2b0e-45cc-a097-412758982296,6,451.8083333
9aa82cff-1e15-4689-a5b6-7e6d01da6167,5,62.834
679c67b7-8678-45e4-b0b5-eaaa7c76e0e1,5,18.71
fd74b3ac-12a0-41f0-9deb-9e546b0e5969,5,22.682
